datetime_utc,Generación prevista Solar,Generación T.Real Solar,Generación T.Real Solar térmica,Generación T.Real Solar fotovoltaica
2013-12-31 21:00:00,,,,
2013-12-31 22:00:00,,,,
2013-12-31 23:00:00,,,,
2014-01-01 00:00:00,0.0,24.0,,
2014-01-01 01:00:00,0.0,24.0,,
2014-01-01 02:00:00,0.5,24.0,,
2014-01-01 03:00:00,2.2,24.0,,
2014-01-01 04:00:00,2.3,23.0,,
2014-01-01 05:00:00,1.0,22.0,,
2014-01-01 06:00:00,1.9,22.0,,
2014-01-01 07:00:00,26.1,27.0,,
2014-01-01 08:00:00,394.5,81.0,,
2014-01-01 09:00:00,911.6,599.0,,
2014-01-01 10:00:00,1279.7,975.0,,
2014-01-01 11:00:00,1410.4,1409.0,,
2014-01-01 12:00:00,1375.7,1459.0,,
2014-01-01 13:00:00,1247.6,1214.0,,
2014-01-01 14:00:00,934.6,896.0,,
2014-01-01 15:00:00,451.7,444.0,,
2014-01-01 16:00:00,45.3,110.0,,
2014-01-01 17:00:00,0.6,61.0,,
2014-01-01 18:00:00,0.0,48.0,,
2014-01-01 19:00:00,0.0,38.0,,
2014-01-01 20:00:00,3.0,34.0,,
2014-01-01 21:00:00,0.4,21.0,,
2014-01-01 22:00:00,0.3,21.0,,
2014-01-01 23:00:00,7.3,21.0,,
2014-01-02 00:00:00,15.1,21.0,,
2014-01-02 01:00:00,17.0,21.0,,
2014-01-02 02:00:00,11.0,21.0,,
2014-01-02 03:00:00,7.8,21.0,,
2014-01-02 04:00:00,8.2,21.0,,
2014-01-02 05:00:00,3.7,21.0,,
2014-01-02 06:00:00,0.0,21.0,,
2014-01-02 07:00:00,10.4,28.0,,
2014-01-02 08:00:00,222.0,32.0,,
2014-01-02 09:00:00,492.6,164.0,,
2014-01-02 10:00:00,568.7,362.0,,
2014-01-02 11:00:00,642.0,483.0,,
2014-01-02 12:00:00,659.0,531.0,,
2014-01-02 13:00:00,569.7,540.0,,
2014-01-02 14:00:00,405.5,409.0,,
2014-01-02 15:00:00,184.6,303.0,,
2014-01-02 16:00:00,18.3,104.0,,
2014-01-02 17:00:00,9.8,47.0,,
2014-01-02 18:00:00,7.2,46.0,,
2014-01-02 19:00:00,7.6,45.0,,
2014-01-02 20:00:00,9.5,44.0,,
2014-01-02 21:00:00,1.6,29.0,,
2014-01-02 22:00:00,1.2,27.0,,
2014-01-02 23:00:00,0.9,26.0,,
2014-01-03 00:00:00,1.8,23.0,,
2014-01-03 01:00:00,1.8,23.0,,
2014-01-03 02:00:00,0.8,23.0,,
2014-01-03 03:00:00,0.3,23.0,,
2014-01-03 04:00:00,2.0,22.0,,
2014-01-03 05:00:00,3.5,22.0,,
2014-01-03 06:00:00,3.2,30.0,,
2014-01-03 07:00:00,27.3,56.0,,
2014-01-03 08:00:00,337.2,84.0,,
2014-01-03 09:00:00,915.8,531.0,,
2014-01-03 10:00:00,1151.6,1074.0,,
2014-01-03 11:00:00,1493.2,1537.0,,
2014-01-03 12:00:00,1808.4,1431.0,,
2014-01-03 13:00:00,1608.9,1437.0,,
2014-01-03 14:00:00,1215.2,1180.0,,
2014-01-03 15:00:00,761.8,919.0,,
2014-01-03 16:00:00,240.8,441.0,,
2014-01-03 17:00:00,50.0,116.0,,
2014-01-03 18:00:00,47.8,46.0,,
2014-01-03 19:00:00,10.4,47.0,,
2014-01-03 20:00:00,10.8,47.0,,
2014-01-03 21:00:00,7.0,38.0,,
2014-01-03 22:00:00,5.6,38.0,,
2014-01-03 23:00:00,5.9,29.0,,
2014-01-04 00:00:00,9.7,24.0,,
2014-01-04 01:00:00,8.3,24.0,,
2014-01-04 02:00:00,7.6,24.0,,
2014-01-04 03:00:00,5.7,24.0,,
2014-01-04 04:00:00,5.0,24.0,,
2014-01-04 05:00:00,5.0,24.0,,
2014-01-04 06:00:00,19.5,23.0,,
2014-01-04 07:00:00,23.1,28.0,,
2014-01-04 08:00:00,455.7,45.0,,
2014-01-04 09:00:00,1078.0,544.0,,
2014-01-04 10:00:00,1408.1,1189.0,,
2014-01-04 11:00:00,1622.2,1495.0,,
2014-01-04 12:00:00,1660.7,1415.0,,
2014-01-04 13:00:00,1401.1,1383.0,,
2014-01-04 14:00:00,1053.7,1196.0,,
2014-01-04 15:00:00,655.1,787.0,,
2014-01-04 16:00:00,211.6,336.0,,
2014-01-04 17:00:00,14.6,41.0,,
2014-01-04 18:00:00,4.9,38.0,,
2014-01-04 19:00:00,3.9,38.0,,
2014-01-04 20:00:00,9.1,38.0,,
2014-01-04 21:00:00,4.7,19.0,,
2014-01-04 22:00:00,5.0,18.0,,
2014-01-04 23:00:00,6.9,17.0,,
2014-01-05 00:00:00,4.7,18.0,,
2014-01-05 01:00:00,4.1,18.0,,
2014-01-05 02:00:00,3.4,18.0,,
2014-01-05 03:00:00,2.4,18.0,,
2014-01-05 04:00:00,2.1,18.0,,
2014-01-05 05:00:00,2.1,18.0,,
2014-01-05 06:00:00,15.2,18.0,,
2014-01-05 07:00:00,24.4,23.0,,
2014-01-05 08:00:00,413.9,63.0,,
2014-01-05 09:00:00,1161.9,545.0,,
2014-01-05 10:00:00,1692.1,1154.0,,
2014-01-05 11:00:00,2057.1,1606.0,,
2014-01-05 12:00:00,2121.8,1749.0,,
2014-01-05 13:00:00,1910.8,1774.0,,
2014-01-05 14:00:00,1484.0,1882.0,,
2014-01-05 15:00:00,1036.2,1592.0,,
2014-01-05 16:00:00,477.0,1017.0,,
2014-01-05 17:00:00,169.1,298.0,,
2014-01-05 18:00:00,57.5,68.0,,
2014-01-05 19:00:00,18.1,43.0,,
2014-01-05 20:00:00,5.2,43.0,,
2014-01-05 21:00:00,5.4,21.0,,
2014-01-05 22:00:00,6.8,21.0,,
2014-01-05 23:00:00,5.0,20.0,,
2014-01-06 00:00:00,1.7,20.0,,
2014-01-06 01:00:00,1.8,20.0,,
2014-01-06 02:00:00,2.1,30.0,,
2014-01-06 03:00:00,4.2,20.0,,
